Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , ,[' 1'],[' 3325+'],[' 1666'],"[' 1002.347s (Solving', ' 994.15s 1st Model', ' 151.71s Unsat', ' 0.00s)']",[' 999.484s'], ,[' 269664999'],"[' 12275280 (Analyzed', ' 12008145)']","[' 24023    (Average', ' 499.86 Last', ' 106039)']",[' 3324.5  '],"[' 1666     (Average Length', ' 886.63 Splits', ' 0)']","[' 12008145 (Deleted', ' 11895593)']","[' 266      (Ratio', '   0.00%)']","[' 29092    (Ratio', '   0.24%)']","[' 12008145 (Average Length', '   17.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12008145 (Average', ' 22.09 Max', ' 3419 Sum', ' 265204706)']","[' 12007625 (Average', ' 22.04 Max', ' 3302 Sum', ' 264638355 Ratio', '  99.79%)']","[' 520      (Average', ' 1089.14 Max', ' 1212 Sum', ' 566351 Ratio', '   0.21%)']", ,[' 93247   '],[' 6083    '],[' 86843   '],[' 39505   '],"[' 116169   (Atom=Atom', ' 30257 Body=Body', ' 20279 Other', ' 65633)']",[' Yes'],"[' 7866     (Eliminated', '    0 Frozen', ' 7866)']","[' 4966     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.82891'],[' 0'], ,[' 543.991'],[' 0'],[' 26.5223'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.01003e+09'],[' 8.45698e+08'],[' 0'],[' 2.75361e+10'],[' 0'],[' 0'],[' 1047 '],[' 2013 '],[' 3419 '],[' 3 '],[' 0 ']
Solving...,TA52, , ,[' 1'],[' 3013+'],[' 1510'],"[' 1002.141s (Solving', ' 994.48s 1st Model', ' 97.30s Unsat', ' 0.00s)']",[' 1000.922s'], ,[' 304619843'],"[' 11719155 (Analyzed', ' 11362837)']","[' 21243    (Average', ' 534.90 Last', ' 149621)']",[' 3499.7  '],"[' 1510     (Average Length', ' 810.82 Splits', ' 0)']","[' 11362837 (Deleted', ' 11248972)']","[' 353      (Ratio', '   0.00%)']","[' 39425    (Ratio', '   0.35%)']","[' 11362837 (Average Length', '   17.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11362837 (Average', ' 26.38 Max', ' 3353 Sum', ' 299791888)']","[' 11362327 (Average', ' 26.35 Max', ' 3267 Sum', ' 299364124 Ratio', '  99.86%)']","[' 510      (Average', ' 838.75 Max', ' 956 Sum', ' 427764 Ratio', '   0.14%)']", ,[' 93132   '],[' 6101    '],[' 86633   '],[' 39377   '],"[' 115964   (Atom=Atom', ' 30173 Body=Body', ' 20333 Other', ' 65458)']",[' Yes'],"[' 7767     (Eliminated', '    0 Frozen', ' 7767)']","[' 5409     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.67598'],[' 0'], ,[' 511.911'],[' 0'],[' 28.4062'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.01875e+09'],[' 8.48495e+08'],[' 0'],[' 2.15944e+10'],[' 0'],[' 0'],[' 1114 '],[' 2130 '],[' 3261 '],[' 3 '],[' 0 ']
Solving...,TA53, , ,[' 1'],[' 3255+'],[' 1631'],"[' 675.810s (Solving', ' 666.47s 1st Model', ' 18.82s Unsat', ' 0.00s)']",[' 673.859s'], ,[' 201370030'],"[' 9985983  (Analyzed', ' 9921247)']","[' 18484    (Average', ' 536.75 Last', ' 13039)']",[' 4403.6  '],"[' 1630     (Average Length', ' 875.53 Splits', ' 0)']","[' 9921247  (Deleted', ' 9812158)']","[' 175      (Ratio', '   0.00%)']","[' 20328    (Ratio', '   0.20%)']","[' 9921247  (Average Length', '   18.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9921247  (Average', ' 19.70 Max', ' 4434 Sum', ' 195479750)']","[' 9920730  (Average', ' 19.66 Max', ' 4434 Sum', ' 195054708 Ratio', '  99.78%)']","[' 517      (Average', ' 822.13 Max', ' 986 Sum', ' 425042 Ratio', '   0.22%)']", ,[' 92127   '],[' 5999    '],[' 85692   '],[' 39015   '],"[' 114817   (Atom=Atom', ' 29886 Body=Body', ' 20027 Other', ' 64904)']",[' Yes'],"[' 7732     (Eliminated', '    0 Frozen', ' 7732)']","[' 2237     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.08826'],[' 0'], ,[' 400.178'],[' 0'],[' 19.4368'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.46855e+08'],[' 3.66842e+08'],[' 0'],[' 2.2908e+10'],[' 0'],[' 0'],[' 2027 '],[' 2150 '],[' 3275 '],[' 3 '],[' 0 ']
Solving...,TA54, , ,[' 1'],[' 3403+'],[' 1705'],"[' 1004.798s (Solving', ' 987.58s 1st Model', ' 400.07s Unsat', ' 0.00s)']",[' 988.641s'], ,[' 155785933'],"[' 4210528  (Analyzed', ' 3889343)']","[' 9666     (Average', ' 402.37 Last', ' 424038)']",[' 3500.7  '],"[' 1705     (Average Length', ' 899.83 Splits', ' 0)']","[' 3889343  (Deleted', ' 3833556)']","[' 234      (Ratio', '   0.01%)']","[' 26858    (Ratio', '   0.69%)']","[' 3889343  (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3889343  (Average', ' 38.89 Max', ' 3545 Sum', ' 151255992)']","[' 3888838  (Average', ' 38.76 Max', ' 3545 Sum', ' 150745571 Ratio', '  99.66%)']","[' 505      (Average', ' 1010.73 Max', ' 1135 Sum', ' 510421 Ratio', '   0.34%)']", ,[' 92669   '],[' 5998    '],[' 86344   '],[' 39129   '],"[' 114995   (Atom=Atom', ' 29956 Body=Body', ' 20024 Other', ' 65015)']",[' Yes'],"[' 7824     (Eliminated', '    0 Frozen', ' 7824)']","[' 3920     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.10788'],[' 0'], ,[' 475.75'],[' 0'],[' 29.0807'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.81393e+08'],[' 4.04381e+08'],[' 0'],[' 7.94587e+09'],[' 0'],[' 0'],[' 930 '],[' 1935 '],[' 3013 '],[' 3 '],[' 0 ']
Solving...,TA55, , ,[' 1'],[' 3629+'],[' 1818'],"[' 1005.003s (Solving', ' 984.74s 1st Model', ' 366.80s Unsat', ' 0.00s)']",[' 986.344s'], ,[' 158733979'],"[' 7504468  (Analyzed', ' 7133216)']","[' 15060    (Average', ' 473.65 Last', ' 709753)']",[' 3564.9  '],"[' 1818     (Average Length', ' 957.57 Splits', ' 0)']","[' 7133216  (Deleted', ' 7044013)']","[' 290      (Ratio', '   0.00%)']","[' 28054    (Ratio', '   0.39%)']","[' 7133216  (Average Length', '   19.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7133216  (Average', ' 21.55 Max', ' 3537 Sum', ' 153728884)']","[' 7132733  (Average', ' 21.48 Max', ' 3537 Sum', ' 153191560 Ratio', '  99.65%)']","[' 483      (Average', ' 1112.47 Max', ' 1252 Sum', ' 537324 Ratio', '   0.35%)']", ,[' 93067   '],[' 6046    '],[' 86810   '],[' 39472   '],"[' 116074   (Atom=Atom', ' 30261 Body=Body', ' 20168 Other', ' 65645)']",[' Yes'],"[' 7962     (Eliminated', '    0 Frozen', ' 7962)']","[' 4083     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.09275'],[' 0'], ,[' 496.281'],[' 0'],[' 28.1558'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.98255e+08'],[' 4.16499e+08'],[' 0'],[' 2.02158e+10'],[' 0'],[' 0'],[' 1037 '],[' 2034 '],[' 3245 '],[' 3 '],[' 0 ']
Solving...,TA56, , ,[' 1'],[' 3721+'],[' 1864'],"[' 1002.509s (Solving', ' 993.40s 1st Model', ' 158.73s Unsat', ' 0.00s)']",[' 1000.313s'], ,[' 333809801'],"[' 12516416 (Analyzed', ' 12225247)']","[' 24680    (Average', ' 495.35 Last', ' 278387)']",[' 3510.9  '],"[' 1864     (Average Length', ' 981.55 Splits', ' 0)']","[' 12225247 (Deleted', ' 12109321)']","[' 414      (Ratio', '   0.00%)']","[' 36379    (Ratio', '   0.30%)']","[' 12225247 (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12225247 (Average', ' 26.88 Max', ' 3332 Sum', ' 328588950)']","[' 12224737 (Average', ' 26.84 Max', ' 3180 Sum', ' 328073562 Ratio', '  99.84%)']","[' 510      (Average', ' 1010.56 Max', ' 1213 Sum', ' 515388 Ratio', '   0.16%)']", ,[' 93019   '],[' 6042    '],[' 86827   '],[' 39437   '],"[' 116136   (Atom=Atom', ' 30291 Body=Body', ' 20156 Other', ' 65689)']",[' Yes'],"[' 7989     (Eliminated', '    0 Frozen', ' 7989)']","[' 5553     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.02262'],[' 0'], ,[' 480.694'],[' 0'],[' 26.8153'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.22238e+09'],[' 1.03095e+09'],[' 0'],[' 2.09062e+10'],[' 0'],[' 0'],[' 1011 '],[' 2054 '],[' 3139 '],[' 3 '],[' 0 ']
Solving...,TA57, , ,[' 1'],[' 3493+'],[' 1750'],"[' 1002.165s (Solving', ' 994.31s 1st Model', ' 311.29s Unsat', ' 0.00s)']",[' 1000.313s'], ,[' 331743686'],"[' 13049810 (Analyzed', ' 12732222)']","[' 25738    (Average', ' 494.69 Last', ' 672778)']",[' 3431.5  '],"[' 1750     (Average Length', ' 926.54 Splits', ' 0)']","[' 12732222 (Deleted', ' 12626227)']","[' 411      (Ratio', '   0.00%)']","[' 30044    (Ratio', '   0.24%)']","[' 12732222 (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12732222 (Average', ' 25.66 Max', ' 3505 Sum', ' 326744488)']","[' 12731726 (Average', ' 25.62 Max', ' 3271 Sum', ' 326220066 Ratio', '  99.84%)']","[' 496      (Average', ' 1057.30 Max', ' 1198 Sum', ' 524422 Ratio', '   0.16%)']", ,[' 92440   '],[' 5971    '],[' 86153   '],[' 39030   '],"[' 114720   (Atom=Atom', ' 29893 Body=Body', ' 19943 Other', ' 64884)']",[' Yes'],"[' 7823     (Eliminated', '    0 Frozen', ' 7823)']","[' 4823     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.70132'],[' 0'], ,[' 525.664'],[' 0'],[' 26.7543'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.24653e+09'],[' 1.04573e+09'],[' 0'],[' 2.83903e+10'],[' 0'],[' 0'],[' 1051 '],[' 2079 '],[' 3354 '],[' 3 '],[' 0 ']
Solving...,TA58, , ,[' 1'],[' 3693+'],[' 1850'],"[' 1002.185s (Solving', ' 994.02s 1st Model', ' 115.99s Unsat', ' 0.00s)']",[' 999.688s'], ,[' 379820422'],"[' 11861043 (Analyzed', ' 11555774)']","[' 22990    (Average', ' 502.64 Last', ' 209093)']",[' 3465.8  '],"[' 1850     (Average Length', ' 958.24 Splits', ' 0)']","[' 11555774 (Deleted', ' 11462178)']","[' 484      (Ratio', '   0.00%)']","[' 36457    (Ratio', '   0.32%)']","[' 11555774 (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11555774 (Average', ' 32.43 Max', ' 3495 Sum', ' 374700805)']","[' 11555218 (Average', ' 32.37 Max', ' 3220 Sum', ' 374113443 Ratio', '  99.84%)']","[' 556      (Average', ' 1056.41 Max', ' 1187 Sum', ' 587362 Ratio', '   0.16%)']", ,[' 93058   '],[' 6048    '],[' 86817   '],[' 39500   '],"[' 116240   (Atom=Atom', ' 30301 Body=Body', ' 20174 Other', ' 65765)']",[' Yes'],"[' 7974     (Eliminated', '    0 Frozen', ' 7974)']","[' 5155     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.77638'],[' 0'], ,[' 484.678'],[' 0'],[' 27.5744'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.43596e+09'],[' 1.21655e+09'],[' 0'],[' 2.56002e+10'],[' 0'],[' 0'],[' 1011 '],[' 2048 '],[' 3274 '],[' 3 '],[' 0 ']
Solving...,TA59, , ,[' 1'],[' 3653+'],[' 1830'],"[' 1002.338s (Solving', ' 993.84s 1st Model', ' 66.64s Unsat', ' 0.00s)']",[' 999.297s'], ,[' 321195942'],"[' 13276581 (Analyzed', ' 12901265)']","[' 24416    (Average', ' 528.39 Last', ' 119676)']",[' 3465.8  '],"[' 1830     (Average Length', ' 967.88 Splits', ' 0)']","[' 12901265 (Deleted', ' 12786566)']","[' 312      (Ratio', '   0.00%)']","[' 31504    (Ratio', '   0.24%)']","[' 12901265 (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12901265 (Average', ' 24.50 Max', ' 3568 Sum', ' 316053035)']","[' 12900757 (Average', ' 24.45 Max', ' 3327 Sum', ' 315487423 Ratio', '  99.82%)']","[' 508      (Average', ' 1113.41 Max', ' 1273 Sum', ' 565612 Ratio', '   0.18%)']", ,[' 92816   '],[' 6006    '],[' 86574   '],[' 39295   '],"[' 115504   (Atom=Atom', ' 30113 Body=Body', ' 20048 Other', ' 65343)']",[' Yes'],"[' 7921     (Eliminated', '    0 Frozen', ' 7921)']","[' 5207     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.82209'],[' 0'], ,[' 518.318'],[' 0'],[' 26.0627'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.22185e+09'],[' 1.02133e+09'],[' 0'],[' 2.82853e+10'],[' 0'],[' 0'],[' 950 '],[' 1935 '],[' 3265 '],[' 3 '],[' 0 ']
Solving...,TA60, , ,[' 1'],[' 3727+'],[' 1867'],"[' 1002.619s (Solving', ' 993.20s 1st Model', ' 239.78s Unsat', ' 0.00s)']",[' 1000.047s'], ,[' 373132318'],"[' 11072810 (Analyzed', ' 10757045)']","[' 21634    (Average', ' 497.23 Last', ' 1012804)']",[' 3512.2  '],"[' 1867     (Average Length', ' 969.06 Splits', ' 0)']","[' 10757045 (Deleted', ' 10661174)']","[' 396      (Ratio', '   0.00%)']","[' 39708    (Ratio', '   0.37%)']","[' 10757045 (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10757045 (Average', ' 34.20 Max', ' 3359 Sum', ' 367840281)']","[' 10756553 (Average', ' 34.15 Max', ' 3229 Sum', ' 367320310 Ratio', '  99.86%)']","[' 492      (Average', ' 1056.85 Max', ' 1193 Sum', ' 519971 Ratio', '   0.14%)']", ,[' 93271   '],[' 6065    '],[' 87045   '],[' 39607   '],"[' 116517   (Atom=Atom', ' 30386 Body=Body', ' 20225 Other', ' 65906)']",[' Yes'],"[' 8014     (Eliminated', '    0 Frozen', ' 8014)']","[' 5420     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.9752'],[' 0'], ,[' 461.626'],[' 0'],[' 28.0476'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.41179e+09'],[' 1.19969e+09'],[' 0'],[' 2.21857e+10'],[' 0'],[' 0'],[' 1034 '],[' 2076 '],[' 3096 '],[' 3 '],[' 0 ']
